127.0.0.1 - - [09/Dec/2024:17:01:43 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/ HTTP/1.1" 200 34030
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/StyleSheets/HomeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/js/homeScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/NOPLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/VSLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/INDLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/DENLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/PORLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/MINLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/OKCLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/BOSLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/CHALogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/TORLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/SACLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/PHILogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/MILLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/MEMLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/DALLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/HOULogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/UTALogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/SASLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/PHXLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/LACLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/DETLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/NYKLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/CLELogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/ORLLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/LALLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/ATLLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/BKNLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/CHILogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:01:59 -0500] "GET /CPS298_Nba/resources/logos/LJ.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:02:00 -0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:02:08 -0500] "GET /CPS298_Nba/calender HTTP/1.1" 200 463811
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:02:11 -0500] "GET /CPS298_Nba/gameFacts?gameId=2477 HTTP/1.1" 200 5382
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:02:11 -0500] "GET /CPS298_Nba/resources/StyleSheets/FactsStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:17:02:18 -0500] "GET /CPS298_Nba/predictions?gameId=2477 HTTP/1.1" 200 17394
